category,title,description
Marketing,,"'- متابعة سير العمل في الفرع وضمان انسيابية العمليات
- التاكد من جاهزية الفرع (نظافة، تنظيم، اضاءات، عرض الالعاب والبضايع)
- متابعة تحقيق اهداف المبيعات الشهرية والسنوية
- متابعة الاداء الخاصة بالفرع
- حل مشاكل العملاء والشكاوي بشكل مهني وسريع
- رفع مستوي تجربة الزبون وضمان رضاهم
- الاشراف علي موظفي المبيعات وخدمة العملاء في الفرع
- توزيع المهام اليومية ومتابعة تنفيذها
- تقييم اداء الموظفين وتقديم التوجيه والتحفيز المستمر
- رفع تقارير دورية لمدير الفرع عن الاداء والانضباط
- متابعة استلام البضايع وترتيبها في المعارض
- مراقبة مستويات المخزون والابلاغ عن النواقص
- متابعة عمليات الجرد الدوري وتقليل نسبة الفاقد
- التاكد من تطبيق لوايح الشركة ومعايير الجودة
- الالتزام باجراءات الامن والسلامة داخل الفرع"
Marketing,,"'- مطلوب اخصايية مستحضرات تجميل وعناية بالبشرة للعمل لدي تعلن شركة كيرلاند في فرعها بمدينة الخبر
المهام الوظيفية:
- تقديم الاستشارات للعملاء في مجال التجميل والعناية بالبشرة
- تحقيق المبيعات وتقديم خدمة عملاء متميزة
- متابعة المنتجات وتنظيم العرض داخل الفرع"
Marketing,,'- مطلوب مسوقة للعمل في مجال التسويق المباشر والعلاقات العامة
Marketing,,'- تسويق وبيع منتجات الستاير (قماشية، معدنية، خشبية، اوتوماتيكية وغيرها) لعملاء الافراد والشركات، من خلال التواصل المباشر وزيارات ميدانية واعداد عروض الاسعار، مع تحقيق اهداف المبيعات المحددة من قبل الشركة
Marketing,,"'- استقبال الزباين وتقديم المنتجات
- بناء علاقات جيدة مع العملاء لتحفيزهم علي العودة
- معالجة استفسارات العملاء بالاجابة علي اسيلة العملاء وحل مشاكلهم"
Marketing,,'- عرض الخدمة للعميل والتواصل معه
Marketing,,"'- تنظيم جميع عمليات المتجر وتقسيم المهام والمسووليات للموظفين
- الاشراف وتوجيه الموظفين لتحقيق افضل اداء
- اعداد الميزانيات وتقليل حجم النفقات
- رصد ومراقبة المخزون والمشتريات والتاكد من الاستخدام الافضل للميزانية
- التعامل مع شكاوي العملاء وتقديم الحلول المناسبة للحفاظ علي سمعة المتجر
- الفحص المستمر اقسام المتجر وحل اي مشكلة تعطل سير العمل
- التخطيط والاشراف علي المناسبات و العروض الترويجية داخل المتجر
- مواكبة اتجاهات السوق لتحديد الاقتراحات المطلوبة للتحسين في المتجر
- اعداد التحليلات وتقارير المبيعات والايرادات وتقديم التوقعات بشكل دوري
- التاكد من ان المتجر يفي بجميع ارشادات الصحة والسلامة"
Marketing,,"• اعداد وتحضير القهوة والمشروبات بمستوي ثابت وعالي الجودة
• الاشراف علي فريق الباريستا وتوزيع المهام اليومية
• تدريب وتطوير مهارات الفريق علي تحضير المشروبات، تقنيات التبخير، خدمة العملاء، ومعايير النظافة
• مراقبة جودة الخدمة والتاكد من رضا العملاء
• وضع خطط لتحسين الاداء والابتكار في قايمة المشروبات
• التاكد من جاهزية معدات القهوة وصيانتها بشكل دوري
• ادارة المخزون الخاص بالبن، الحليب، والادوات والتاكد من توافر المواد اللازمة
• متابعة معايير النظافة والصحة والسلامة داخل الكوفي شوب
• رفع تقارير دورية للمدير حول اداء الفريق وجودة الخدمة
• المشاركة في اختيار انواع البن والموردين بما يضمن افضل جودة
• التعامل مع ملاحظات وشكاوي العملاء بشكل احترافي وحل المشكلات"
Marketing,,'- استقطاب واستقبال العملاء والرد علي الاتصالات ورفع طلبات العملاء في النظام والمتابعة والتسويق
Marketing,,"'- استقبال العملاء، وتقديم المنتجات وشرح مميزاته
- اتمام عمليات البيع، وترتيب وتنظيم المعرض
- بناء علاقة جيدة مع العملاء، وتقديم المساعدة اللازمة لهم، وحل مشاكلهم"
Marketing,,"المهام الوظيفية:
- التسويق لمنتجات الشركة والتعريف بها من خلال المعرض بشكل مباشر لجذب العملاء وزيادة المبيعات
- ادارة وتنظيم عروض المنتجات داخل المعرض بطريقة تعكس هوية العلامة التجارية وتبرز مزاياها التنافسية
- بناء وتطوير شبكة علاقات مع التجار والموردين واستقطاب شركاء جدد للتعاقد معهم
- التفاوض مع التجار وتوضيح مزايا التعاقد مع الشركة بما يخدم مصلحة الطرفين
- المتابعة المستمرة مع التجار لضمان استمرارية التعاون وتنمية العقود الحالية
- جمع وتحليل ملاحظات العملاء والتجار لتطوير المنتجات والخدمات وتحسين تجربة الشراء
- المشاركة في اعداد وتنفيذ الخطط التسويقية والحملات الترويجية الخاصة بالمعرض"
Marketing,,"'- تحقيق اهداف المبيعات الاسبوعية والشهرية والسنوية
- القيام بالعديد من المهام ذات العلاقة بالتسويق لكافة المنتجات والخدمات التي يقدمها المصنع والتي يعملون فيها وكذلك القيام بزيارات ميدانية دورية مستمرة لكافة المستهلكين لهذه المنتجات والخدمات، تطبيقا للخطط التي يعدها مدير المبيعات بناء علي الخطة الاستراتيجية الشاملة للمصنع"
Marketing,,"'- استقبال العملاء بطريقة لبقة واحترافية
- تنفيذ عمليات البيع وتقديم خدمة متميزة للعملاء
- فهم احتياجات العملاء وتقديم المنتجات المناسبة
- عرض مزايا و اسعار المنتجات واقناع العملاء بالشراء
- تنفيذ العمليات المالية والادارية
- الالتزام بسياسات واجراءات الشركة لتحقيق اعلي مستويات من الخدمة
- التنسيق مع الفرق المختلفة"
Marketing,,"'- مطلوب بايعة او بايع اواني منزلية للعمل بمدينة الرياض
- العمل 6 ايام عمل في الاسبوع (اجازة يوم واحد)"
Marketing,,'- مطلوب اخصايي تسويق ميداني للعمل لدي مجمع طبي واستقطاب العملاء والتسويق الخارجي للخدمات الطبية
Marketing,,"• مقابلة العملاء وعمل الفواتير الخاصة باقامة حفلاتهم الداخلية والخارجية سواء بوفيهات او ولايم او كوش وطاولات وتحقيق رغباتهم وزيارة موقع الحفل اذا استدعي ذلك
• الاشراف علي تنفيذ كل متطلبات الحفلات الداخلية والخارجية سواء البوفيهات او التجهيزات او الكوش والطاولات بالتنسيق مع شيف المطبخ ومدير الحفلات التنفيذي
• تسليم اوامر التشغيل للمطبخ وللمدير التنفيذي للحفلات الداخلية والخارجية مع الشرح الوافي لكل متطلبات الحفلة لمدير المطابخ والمدير التنفيذي للحفلات
• رفع تقارير فورية للادارة في حال وجود اي ملاحظات او مشاكل او شكاوي من العملاء
• التاكد من سداد كامل قيمة الفاتورة قبل تحويلها للمطبخ ما عدا المرخص لهم
• التواجد في الحفلات الداخلية والخارجية الهامة وتصويرها
• متابعة الفعاليات الخارجية والقيام بزيارات للشركات والمصانع ...الخ وتوطيد العلاقات العامة معهم ، والاتفاق علي التعاون مع قاعة الاندلس في تنفيذ الحفلات الخارجية الخاصة بهم والحفلات الداخلية ورفع تقارير بذلك للادارة
• مراقبة المعرض ومتابعته والتاكد من نظافته وترتيبه
• تطوير المنتجات او الخدمات التي تقوم الشركة بتقديمها في السوق مع متابعة التطورات المستمرة وامكانية تنفيذها
• تقييم احتياجات العميل الحالية والمستقبلية ومناقشة طرق تلبيتها"
Marketing,,"'- الترويج للمنتجات او الخدمات وبيعها للعملاء، افرادا او شركات
- العمل كحلقة الوصل الرييسية بين الشركة والعملاء، حيث يقوم ببناء علاقات قوية ، وتقديم عروض توضيحية للمنتجات، واقناعهم بالشراء
- متابعة رضا العملاء وتقديم الدعم اللازم"
Marketing,,"• مقابلة العملاء وعمل الفواتير الخاصة باقامة حفلاتهم الداخلية والخارجية سواء بوفيهات او ولايم او كوش وطاولات وتحقيق رغباتهم وزيارة موقع الحفل اذا استدعي ذلك
• الاشراف علي تنفيذ كل متطلبات الحفلات الداخلية والخارجية سواء البوفيهات او التجهيزات او الكوش والطاولات بالتنسيق مع شيف المطبخ ومدير الحفلات التنفيذي
• تسليم اوامر التشغيل للمطبخ وللمدير التنفيذي للحفلات الداخلية والخارجية مع الشرح الوافي لكل متطلبات الحفلة لمدير المطابخ والمدير التنفيذي للحفلات
• رفع تقارير فورية للادارة في حال وجود اي ملاحظات او مشاكل او شكاوي من العملاء
• التاكد من سداد كامل قيمة الفاتورة قبل تحويلها للمطبخ ما عدا المرخص لهم
• التواجد في الحفلات الداخلية والخارجية الهامة وتصويرها
• متابعة الفعاليات الخارجية والقيام بزيارات للشركات والمصانع ... الخ وتوطيد العلاقات العامة معهم ، والاتفاق علي التعاون مع قاعة الاندلس في تنفيذ الحفلات الخارجية الخاصة بهم والحفلات الداخلية ورفع تقارير بذلك للادارة
• مراقبة المعرض ومتابعته والتاكد من نظافته وترتيبه
• تطوير المنتجات او الخدمات التي تقوم الشركة بتقديمها في السوق مع متابعة التطورات المستمرة وامكانية تنفيذها
• تقييم احتياجات العميل الحالية والمستقبلية ومناقشة طرق تلبيتها"
Marketing,,"'- مطلوب مندوبي مبيعات اجهزة منزلية للعمل في المدن: ( جدة - خميس مشيط - جازان - الدمام - المدينة - القصيم - الرياض )
المسووليات :
- بناء العلاقات والتواصل الدايم مع العملاء الحاليين والمحتملين
- الاهتمام بمشاكل العملاء والمساعدة في حلها، ونقل الشكاوي والاقتراحات الي ادارة الشركة
- اعداد خطط عمل واضحة (يومية/اسبوعية/شهرية) واجراء التحسينات الدورية عليها"
Marketing,,'- مطلوب مندوب مبيعات لديه خبرة في مجال بيع قطاعات الالمنيوم والزجاج والاكسسوار
Marketing,,"المهام:
- استقبال العملاء والرد علي استفساراتهم
- شرح المنتجات وتقديم العروض
- تسجيل ومتابعة الطلبات
- متابعة تحصيل المدفوعات
- متابعة توصيل المواد والتاكد من استلام العميل
- متابعة مواعيد التركيب وضمان رضا العميل"
Marketing,,"'- مطلوب مدير مبيعات مشاريع مقاولات للعمل في مجال الانشاءات والمقاولات وتنفيذ الصفقات والعقود
- العمل باحدي فروع الشركة بالمنطقة الغربية"
Marketing,,"'- مطلوب صانعة او صانع محتوي علي معرفة بعالم صناعة المحتوي المريي ( الفيديوهات ) بمنصات التواصل الاجتماعي
المهام والمسووليات:
- ابتكار افكار محتوي ابداعي ومواكب لتحديثات المنصات التواصل الاجتماعي
- العمل ضمن فريق تسويقي لفهم استراتيجية العمل وتنفيذها بالمحتوي
- متابعة وتحليل اداء المحتوي واقتراح التحسينات
- المشاركة في التخطيط والتصوير والتنفيذ الكامل للمحتوي
- كتابة النصوص والمقاطع التعريفية بما يتناسب مع هوية كل مشروع"
Marketing,,"'- اعداد وتنفيذ الحملات التسويقية
- انشاء محتوي تسويقي يعكس هوية الشركة ويبرز خدماتها في - مجال المشاريع
- تنظيم الفعاليات التسويقية والمعارض ذات الصلة
- بناء وتعزيز العلاقات مع العملاء والشركاء
- دعم فريق المبيعات بمحتوي تسويقي وعروض ترويجية فعالة
- تحليل الاداء التسويقي وتقديم تقارير دورية"
Marketing,,"'- تحقيق الهدف البيعي للمعرض
- الاشراف علي تحقيق الهدف البيعي للبايعين داخل المعرض
- وضع الاهداف البيعية اليومية للبايعين والاشراف علي تحقيقها"
Marketing,,'- مطلوب مندوب مبيعات لديه خبرة سنة للعمل لدي مصنع بمدينة الرياض
Marketing,,'- مطلوب بايع معرض للعمل في مكة المكرمة
Marketing,,"اولا: العمليات اليومية:
- الاشراف علي سير العمل داخل الفرع وضمان التزام الفريق بالاجراءات والسياسات
- مراقبة مستويات المخزون او النقد (حسب طبيعة النشاط)
- التاكد من جاهزية الفروع لفتح/اغلاق العمليات حسب الاجراءات
- متابعة اعمال الصيانة والنظافة والسلامة العامة
ثانيا: خدمة العملاء:
- حل مشكلات العملاء المعقدة او التصعيدات التي تتطلب تدخلا اداريا
- دعم الفريق في تقديم خدمة احترافية للعملاء
- مراقبة مستوي رضا العملاء ورفع التقارير اللازمة
ثالثا: المبيعات وتحقيق الاهداف:
- متابعة موشرات الاداء البيعي للموظفين
- تحفيز الفريق لتحقيق المستهدفات اليومية/الاسبوعية
- اقتراح افكار لتحسين الاداء البيعي وزيادة الايرادات
رابعا: الموارد البشرية والاشراف:
- المساهمة في تدريب وتوجيه الموظفين الجدد
- تقييم اداء الموظفين بشكل مستمر ورفع الملاحظات لمدير الفرع
- تنظيم الجداول والورديات بالتنسيق مع المدير
- الابلاغ عن اي مشكلات سلوكية او ادارية توثر علي سير العمل
خامسا: التقارير والادارية:
- اعداد تقارير دورية عن المبيعات، الحضور، الاداء، او الاعطال
- رفع تقارير بالاحتياجات التشغيلية او النواقص
- المساهمة في جرد المخزون او مراجعة الحسابات عند الحاجة"
Marketing,,"الهدف من الوظيفة:
- العمل علي تنفيذ الانشطة التسويقية اليومية التي تساهم في تعزيز الوعي بالعلامة التجارية وتحقيق الاهداف التسويقية المحددة. يشمل ذلك المشاركة في تصميم حملات تسويقية، تنفيذها، وتحليل نتايجها لتحسين الاداء التسويقي للشركة
المهام والواجبات:
تنفيذ الحملات التسويقية:
- المساهمة في تنفيذ الحملات التسويقية الرقمية والتقليدية
- متابعة مراحل تنفيذ الحملات وضمان توافقها مع الجدول الزمني والميزانية
تحليل السوق والجمهور المستهدف:
- اجراء ابحاث سوقية لفهم احتياجات الجمهور المستهدف
- مراقبة سلوك المستهلكين وتحليل البيانات لاستخلاص روي قابلة للتنفيذ
ادارة المحتوي التسويقي:
- انتاج او تنسيق المحتوي الخاص بالحملات التسويقية (منشورات علي وسايل التواصل الاجتماعي، مقالات، مواد اعلانات،...)
- التاكد من توافق المحتوي مع استراتيجية الشركة ورسالتها
التسويق الرقمي:
- ادارة الحسابات علي منصات التواصل الاجتماعي (مثل فيسبوك، انستغرام، تويتر، لينكدان،...)، وتحليل الاداء
مراقبة الاداء وتحليل النتايج:
- التعاون مع فرق المبيعات لتحديد استراتيجيات ترويجية تلايم السوق الحالي
- التنسيق مع فرق التصميم والمحتوي لتطوير حملات متكاملة
ادارة الانشطة الترويجية:
- تنفيذ الانشطة الترويجية مثل العروض الخاصة، الخصومات، والمسابقات
- متابعة الاستجابة لهذه الانشطة وتقديم تقارير عن نتايجها"
Marketing,,"المهام والمسيوليات:
• استقبال المدفوعات النقدية من العملاء وتحويلها الي النظام المحاسبي
• صرف الاموال نقدا للعملاء او الموظفين عند الحاجة وفقا للاجراءات المعتمدة
• التاكد من دقة المبالغ المدفوعة وصرف الاموال
• تسجيل كافة المعاملات المالية التي تتم عبر الصندوق (المدفوعات، الايداعات، المبالغ المستلمة) بشكل دقيق
• الحفاظ علي دفاتر الصندوق واجراء التسويات اليومية والتاكد من تطابق الارقام مع السجلات المالية
• فحص التوقيعات علي الشيكات والتاكد من صحتها قبل ايداعها
• ادارة العمليات النقدية بشكل منظم وامن وتحديث السجلات بشكل منتظم
• اجراء تسوية يومية للمبالغ النقدية الموجودة في الصندوق مع السجلات المحاسبية
• اعداد تقارير نقدية يومية للادارة المالية وابلاغهم باي اختلافات او مشكلات قد تحدث
• اعداد تقارير يومية وشهرية تشمل تفاصيل المعاملات المالية وارصدة الصندوق
• تقديم تقارير دقيقة للادارة حول المبالغ النقدية المتاحة والتقارير المحاسبية المرتبطة
• التعاون مع المحاسبين والمستشارين الماليين لضمان ان كافة العمليات المالية تتوافق مع السياسات الداخلية
• العمل مع فريق المبيعات او فرق اخري في الموسسة لتسوية المعاملات المالية
• التاكد من الامتثال للسياسات المالية والاجراءات المحاسبية الخاصة بالموسسة
• الحفاظ علي سرية المعاملات المالية ومعلومات العملاء
• معالجة المدفوعات الصغيرة او المطالبات المالية، مثل مصروفات الموظفين او الفواتير الصغيرة
• ادارة عملية استلام ودفع المبالغ النقدية من العملاء او الموردين
• التاكد من الحفاظ علي اموال الصندوق بامان ومنع الوصول اليها دون اذن مناسب
• اتخاذ التدابير اللازمة لضمان حماية اموال الصندوق من السرقة او الخطا"
Marketing,,'- مطلوب بايع معرض لديه خبرة سابقة للعمل بمدينة الرياض
Marketing,,'- مطلوب مندوب مبيعات للعمل لدي شركة متخصصة في التجارة الالكترونية بمدينة الرياض - حي النهضة
Marketing,,"Role Description:
- This is a full-time on-site role for a B2B Business Development Officer in the aluminum structure field, including furniture, windows, and doors, located in Al-Khobar
- The Business Development Officer will be responsible for identifying new business opportunities, establishing relationships with potential clients, analyzing market trends, managing financial aspects, and ensuring high levels of customer service
- Daily tasks will involve market research, client meetings, negotiations, and strategic planning to drive business growth."
Marketing,,"'- تحقيق هدف المبيعات
- بناء العلاقات والتواصل الدايم مع العملاء الحاليين والمحتملين
- التجهيز والاعداد المسبق لاي اوراق او مستندات قد يحتاج اليها العميل لاجراء الاتفاقات وابرام العقود
- شرح تفصيلي لكافة منتجات وخدمات الشركة العامل بها، وتشجيع العملاء علي اقتنايها
- الاهتمام بمشاكل العملاء والمساعدة في حلها، ونقل الشكاوي والاقتراحات الي ادارة الشركة
- اعداد خطط عمل واضحة (يومية/اسبوعية/شهرية) واجراء التحسينات الدورية عليها"
Marketing,,"• العمل في بيع المنتجات البلاستيكية ومواد التعبية والتغليف
• استهداف عملاء التجزية وتطوير العلاقات معهم
• تحقيق الاهداف البيعية الشهرية والسنوية
• تغطية مناطق البيع المحددة من قبل الادارة"
Marketing,,'- مطلوب مندوب مبيعات لديه خبرة لا تقل عن 5 سنوات في مجال المبيعات للصيدليات
Marketing,,"'- Distributing the company's ice cream products to sales outlets
- Opening new sales channels and expanding the customer base
- Achieving the specified monthly sales targets
- Following up on invoice collections and organizing accounts with customers
- Maintaining a professional relationship with customers and addressing their needs"
Marketing,,'- مطلوب محاسبة زباين للعمل لدي محل لبيع المنتجات الغذايية
Marketing,,"'- استقبال العملاء وتحديد احتياجاتهم
- تقديم المشورة الفنية حول المنتجات (مثل انواع المواسير، التركيبات، الادوات الصحية)
- شرح مواصفات المنتجات واسعارها وعروض التخفيض
- اتمام عملية البيع (الفاتورة، الدفع، التغليف)
- مراقبة مستوي المنتجات وتنبيه المدير عند نفاذ الكميات
- ترتيب المنتجات وعرضها بطريقة جذابة
- المساعدة في جرد المخزون دوريا
- فهم اساسيات التركيبات الصحية (مثل انواع المواسير، المحابس، السيفونات)
- معرفة الفرق بين المنتجات المحلية والمستوردة وجودتها
- قراءة الكتالوجات ومواصفات المنتج
- تسجيل المبيعات اليومية في النظام
- متابعة الفواتير والمستحقات المالية
- تنظيم المحل والحفاظ علي نظافته"
Marketing,,"'- ادخال فواتير المشتريات في النظام المالي بدقة وسرعة
- مراجعة وتدقيق الفواتير للتاكد من صحتها واكتمال البيانات
- تحديث سجلات المشتريات وقواعد البيانات بشكل دوري
- التنسيق مع قسم المشتريات والمحاسبة لحل اي تناقضات في الفواتير
- متابعة الفواتير المعلقة او غير المكتملة
- اعداد تقارير دورية عن حركة المشتريات
- تنظيم وحفظ نسخ الكترونية وورقية من الفواتير
- تصنيف الفواتير حسب نوع المشتريات او الموردين
- التاكد من مطابقة الفواتير للسياسات المالية للشركة
- الالتزام بمواعيد ادخال البيانات المحددة"
Marketing,,"‏الوصف الوظيفي:
- استقبال العملاء وتقديم خدمة احترافية لهم، وفهم احتياجاتهم وتوجيههم الي المنتجات المناسبة، مع تحقيق اهداف المبيعات والمحافظة علي مستوي عال من رضا العملاء، ويشمل الدور ترتيب المعروضات، ومتابعة المخزون، والمساهمة في تعزيز تجربة العملاء داخل المعرض او المتجر
‏المهام والمسووليات:
- الترحيب بالعملاء وفهم احتياجهم وعرض المنتجات لهم
- تحقيق الاهداف البيعية المحددة من قبل الادارة
- تقديم العروض التوضيحية للمنتجات والخدمات للعملاء
- بناء علاقات قوية مع العملاء وضمان رضاهم
- ‏التعامل مع استفسارات وشكاوي العملاء بشكل احترافي
- متابعة المخزون والتاكد من توفر المنتجات المطلوبة"
Marketing,,'- تطوير وتنفيذ الاستراتيجيات التسويقية، واجراء ابحاث السوق، وادارة الحملات التسويقية، وادارة العلامة التجارية، وتحليل الاداء التسويقي، وادارة قنوات التسويق الرقمي، والتعاون مع الفرق الاخري، واعداد التقارير التسويقية، وادارة العلاقات مع العملاء
Marketing,,'- مطلوب مندوب مبيعات لديه خبرة سنة في مجال المبيعات للعمل بمدينة الرياض
Marketing,,"المهام والمسووليات:
- الترويج لخدمات الشركة للعملاء المحتملين
- بناء علاقات طويلة الامد مع العملاء وتقديم خدمة ما بعد البيع
- تحقيق اهداف المبيعات الشهرية والسنوية
- زيارة العملاء في مواقعهم عند الحاجة
- اعداد تقارير دورية عن الانشطة والمبيعات وردود الفعل"
Marketing,,"'- الترويج الالكتروني
- التسويق الالكتروني
- زيادة انتشار المقاطع وتحقيق النجاح بالاعتماد علي حملات التسويق الالكتروني
- تحسين محركات البحث
- دراسة السوق المنافس، معرفة نقاط القوة والضعف، وضع الخطط التسويقية المناسبة
- تحقيق النتايج الاولي في محرك البحث جوجل
- الوصول الفية المستهدفة او الجمهور المستهدف بنجاح وبافضل تكلفة ممكنة"
Marketing,,"'- مطلوب مدير تسويق للعمل لدي ‏شركة مسوولة عن شركات مشغلة ومجالها بيع الادوات الرياضية
‏الوصف الوظيفي:
- المشاركة في وضع الاهداف والسياسات والخطط التشغيلية المتعلقة بالتسويق، والاشراف المباشر علي انشطة ادارة وتخطيط اعمال التسويق بما يتوافق مع الخطط التشغيلية، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية باكبر كفاءة وفعالية ممكنة، وقيادة وتخطيط وتنفيذ الاستراتيجيات التسويقية لزيادة الوعي بالعلامة التجارية وتعزيز المبيعات وتحقيق اهداف الشركة من خلال الحملات التسويقية الفعالة وادارة فريق التسويق بكفاءة
‏المهام والمسووليات:
- الاشراف علي تطبيق الخطط التسويقية والاعلامية للجهة وضمان حسن تنفيذها وفق الاجراءات والاوقات والموازنات المتفق عليها وضمان فعاليتها وخدمتها لاهداف الجهة التسويقية
- تطوير خطط التسويق السنوية والخطط الاعلانية والبرامج التسويقية والترويجية للجهة بالتنسيق مع الوحدات التنظيمية والجهات ذات العلاقة
- الاشراف علي الحملات التسويقية الترويجية الرقمية والتقليدية وتحليل ادايها
- التعاون مع فرق المبيعات لتوحيد الجهود وتحقيق الاهداف المشتركة
- ادارة الفريق التسويقي وتوزيع المهام وضمان تحقيق النتايج"
Marketing,,"General Description:
- Trend Makers is looking for a results-driven Sales Officer to join our team. The ideal candidate will be responsible for executing sales strategies, engaging with B2B clients, and building strong, long-term customer relationships that drive satisfaction and repeat business.
Key Responsibilities:
- Promote the company’s services and solutions to potential B2B clients
- Communicate with existing and prospective customers to understand their needs and offer tailored solutions
- Prepare quotations and negotiate terms and pricing with clients
- Achieve monthly and annual sales targets
- Submit regular performance and sales reports to the Sales Manager
- Follow up with clients post-sale to ensure satisfaction and retention
- Represent the company in marketing events and exhibitions when needed"
Marketing,,"'- Present and explain products/services clearly
- Meet monthly sales targets
- Follow up with clients and provide after-sales support"
Marketing,,"'- مطلوب اخصايي تسويق للعمل لدي شركة ال منيف للتجارة والصناعة والزراعة والمقاولات بمدينة الرياض
المهام :
- متابعة طلبات وتطوير المتجر الالكتروني
- صناعة المحتوي المناسب من فيدوهات وصور تتناسب مع برامج السوشل ميديا"
Marketing,,"'- مطلوب موظفة او موظف كاشير للعمل لدي محل منتجات غذايية عضوية والاهتمام بالمحل من حيث النواقص والطلبات
- الوظايف في المدن ( الرياض - بريدة - خميس مشيط )"
Marketing,,'- مطلوب منسق مبيعات للعمل علي بيع المنتجات والترويج لها
Marketing,,"'- اعداد وتنفيذ خطة محتوي شهرية تتوافق مع اهداف التسويق وهوية العلامة التجارية
- كتابة وصياغة المنشورات بطريقة احترافية وجذابة تراعي الفروقات بين المنصات (X, Instagram, TikTok, LinkedIn, Snapchat وغيرها)
- جدولة المنشورات ومتابعة ادايها باستخدام ادوات النشر والتحليل (مثل Meta Business Suite، Hootsuite، Buffer)
- التعاون مع فرق التصميم والانتاج لاعداد المحتوي البصري (صور، فيديو، موشن، ستوريات)"
Marketing,,'- مطلوب مسوقة عقارية للعمل في مجال التسويق العقاري بمدينة جدة - حي الصفا
Marketing,,"'- تصميم وانشاء فيديوهات موشن جرافيك للاعلانات (ثنايية او ثلاثية الابعاد)
- اعداد السيناريوهات البصرية وتحديد التسلسل الزمني للمشاهد
- التعاون مع فرق التسويق والمحتوي لتصميم مواد تدعم الحملات الاعلانية"
Marketing,,"'- مطلوب مندوبات ومندوبي مبيعات فعاليات ومعارض للعمل بمدينة الرياض
- عدد الوظايف: 3
المهام الرييسية:
- تسويق وبيع مساحات الاجنحة في الفعالية
- التواصل مع الشركات المستهدفة والمشاركين المحتملين
- توضيح مزايا المشاركة في الفعالية بشكل احترافي
- تحقيق او تجاوز اهداف المبيعات المحددة"
Marketing,,"• استقبال الزباين بابتسامة لطيفة والتعرف علي احتياجاتهم وتلبيتها
• فتح الكاشير (الصندوق) واغالقه واتمام عملية البيع وطباعة فاتورة العميل وعمل المرتجعات باستخدام نظام نقاط البيع
• الالمام التام بنظام نقاط البيع (الكمبيوتر)
• متابعة العروض والخصومات المتوفرة الالمام بسياسات البيع والدفع الامور الامنية
• الحفاظ علي سجلات المبيعات
• التوصية باحتياجات ورغبات الزباين
• عرض المنتجات بطريقة جذابة والمحافظة علي ترتيب الارفف
• تنظيف الرفوف والكاونتر و الطاولات
• الحفاظ علي المخزون والتزويد من قسم المستودعات"
Marketing,,"'- A Sales Representative is responsible for identifying potential customers and closing sales deals.
- The role includes building strong customer relationships, following up on leads and achieving monthly sales target.
- The Representative also gathers market feedback and responsible on collection"
Marketing,,"'- التنسيق بين فريق المبيعات والانتاج والادارات الاخري
- اعداد عروض الاسعار وتجهيز المستندات اللازمة للعملاء
- متابعة متطلبات العملاء والتاكد من استلام جميع البيانات (الصور، المقاسات، المواد، الخ)
- ادارة التواصل مع العملاء وتحديث الحالة في النظام بشكل مستمر
- تنظيم جداول التسليم والتنسيق مع قسم التسويق عند الحاجة للتصوير او اعداد المحتوي
- تحديث الكتالوجات ومحتوي التسعير
- تسجيل تقارير يومية في النظام (Odoo او النظام الداخلي)
- المشاركة في الزيارات الميدانية عند الحاجة
- فهم المخططات الهندسية والقدرة علي قراءة البيانات الفنية بدقة"
Marketing,,"'- تنفيذ الزيارات الميدانية الدورية للعملاء
- الترويج للمنتجات والخدمات
- متابعة الطلبات وضمان رضا العملاء بعد البيع
- تحقيق الاهداف البيعية المعتمدة مع تحسين الاداء وتوسيع قاعدة العملاء"
Marketing,,"'- تحقيق اهداف المبيعات
- استقبال العملاء والتوجيه داخل اقسام المتجر
- تقديم معلومات دقيقة مثل مميزات المنتج، والاسعار وخدمات ما بعد البيع
- التجاوب مع العملاء فيما يخص المنتجات والخدمات
- اعداد وتجهيز العروض الترويجية المختلفة
- الاشراف علي تنسيق عمليات التخزين والكميات المعروضة علي الرفوف
- الاشراف علي اجراءات الاسترجاع واستبدال المنتجات
- تعريف العملاء باحدث العروض والخصومات الخاصة بشكل مستمر
- الاطلاع بشكل دايم علي المنتجات والخدمات الجديدة"
Marketing,,"'- زيارة المطاعم والعملاء الحاليين والمحتملين بشكل منتظم
- بناء علاقات مهنية وطويلة الامد مع مديري واصحاب المطاعم
- تحديد فرص المبيعات الجديدة وتوسيع قاعدة العملاء
- تحقيق الاهداف البيعية الشهرية والسنوية
- متابعة طلبات العملاء والتاكد من تسليم المنتجات في الوقت المحدد"
Marketing,,'- مطلوب كاشير للعمل لدي سوبر ماركت بمدينة الدمام
Marketing,,'- مطلوب ممثل مبيعات اغذية (هوريكا) للعمل بمدينة الرياض
